Classe,Ordem,Familia,Genero,Especie,Correspondente
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia butantan,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia marvaleewakeae,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia rochai,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia supernumeraria,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia taylori,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia,Microcaecilia trombetas,
Amphibia,Gymnophiona,Siphonopidae,Mimosiphonops,Mimosiphonops reinhardti,
Amphibia,Gymnophiona,Siphonopidae,Mimosiphonops,Mimosiphonops vermiculatus,
Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops annulatus,
Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops hardyi,
Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops insulanus,
Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops leucoderus,
Amphibia,Gymnophiona,Siphonopidae,Siphonops,Siphonops paulensis,
Amphibia,Gymnophiona,Typhlonectidae,Atretochoana,Atretochoana eiselti,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton arii,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton braestrupi,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton exile,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton indistinctum,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton noctinectes,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton perissodus,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton tremembe,
Amphibia,Gymnophiona,Typhlonectidae,Chthonerpeton,Chthonerpeton viviparum,
Amphibia,Gymnophiona,Typhlonectidae,Nectocaecilia,Nectocaecilia petersii,
Amphibia,Gymnophiona,Typhlonectidae,Potomotyphlus,Potomotyphlus kaupii,
Amphibia,Gymnophiona,Typhlonectidae,Typhlonectes,Typhlonectes compressicauda,
Amphibia,Anura,Microhylidae,Elachistocleis,Elachistocleis ovalis,
Reptilia,,,,,
Reptilia,Crocodylia,,,,
Reptilia,Squamata,,,,
Reptilia,Testudines,,,,
Reptilia,Crocodylia,Alligatoridae,,,
Reptilia,Squamata,Amphisbaenidae,,,
Reptilia,Squamata,Anguidae,,,
Reptilia,Squamata,Aniliidae,,,
Reptilia,Squamata,Anomalepididae,,,
Reptilia,Squamata,Boidae,,,
Reptilia,Testudines,Chelidae,,,
Reptilia,Squamata,Colubridae,,,
Reptilia,Squamata,Crocodylidae,,,
Reptilia,Squamata,Dactyloidae,,,
Reptilia,Squamata,Dipsadidae,,,
Reptilia,Squamata,Elapidae,,,
Reptilia,Testudines,Emydidae,,,
Reptilia,Squamata,Gekkonidae,,,
Reptilia,Testudines,Geoemydidae,,,
Reptilia,Squamata,Gymnophthalmidae,,,
Reptilia,Squamata,Hoplocercidae,,,
Reptilia,Squamata,Iguanidae,,,
Reptilia,Testudines,Kinosternidae,,,
Reptilia,Squamata,Leiosauridae,,,
Reptilia,Squamata,Leptotyphlopidae,,,
Reptilia,Squamata,Liolaemidae,,,
Reptilia,Squamata,Mabuyidae,,,
Reptilia,Squamata,Phyllodactylidae,,,
Reptilia,Testudines,Podocnemididae,,,
Reptilia,Squamata,Polychrotidae,,,
Reptilia,Squamata,Sphaerodactylidae,,,
Reptilia,Squamata,Teiidae,,,
Reptilia,Testudines,Testudinidae,,,
Reptilia,Squamata,Tropidophiidae,,,
Reptilia,Squamata,Tropiduridae,,,
Reptilia,Squamata,Typhlopidae,,,
Reptilia,Squamata,Viperidae,,,
Reptilia,Testudines,Chelidae,Acanthochelys,,
Reptilia,Squamata,Gymnophthalmidae,Acratosaura,,
Reptilia,Squamata,Gymnophthalmidae,Alexandresaurus,,
Reptilia,Squamata,Gymnophthalmidae,Alopoglossus,,
Reptilia,Squamata,Gymnophthalmidae,Amapasaurus,,
Reptilia,Squamata,Teiidae,Ameiva,,
Reptilia,Squamata,Teiidae,Ameivula,,
Reptilia,Squamata,Typhlopidae,Amerotyphlops,,
Reptilia,Squamata,Dipsadidae,Amnesteophis,,
Reptilia,Squamata,Amphisbaenidae,Amphisbaena,,
Reptilia,Squamata,Aniliidae,Anilius,,
Reptilia,Squamata,Leiosauridae,Anisolepis,,
Reptilia,Squamata,Gymnophthalmidae,Anotosaura,,
Reptilia,Squamata,Dipsadidae,Apostolepis,,
Reptilia,Squamata,Gymnophthalmidae,Arthrosaura,,
Reptilia,Squamata,Mabuyidae,Aspronema,,
Reptilia,Squamata,Dipsadidae,Atractus,,
Reptilia,Squamata,Gymnophthalmidae,Bachia,,
Reptilia,Squamata,Boidae,Boa,,
Reptilia,Squamata,Dipsadidae,Boiruna,,
Reptilia,Squamata,Viperidae,Bothrocophias,,
Reptilia,Squamata,Viperidae,Bothrops,,
Reptilia,Squamata,Mabuyidae,Brasiliscincus,,
Reptilia,Squamata,Dipsadidae,Caaeteboia,,
Reptilia,Crocodylia,Alligatoridae,Caiman,,
Reptilia,Squamata,Dipsadidae,Calamodontophis,,
Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,,
Reptilia,Squamata,Gymnophthalmidae,Caparaonia,,
Reptilia,Squamata,Dipsadidae,Cercophis,,
Reptilia,Squamata,Gymnophthalmidae,Cercosaura,,
Reptilia,Squamata,Sphaerodactylidae,Chatogekko,,
Reptilia,Testudines,Testudinidae,Chelonoidis,,
Reptilia,Testudines,Chelidae,Chelus,,
Reptilia,Squamata,Colubridae,Chironius,,
Reptilia,Squamata,Dipsadidae,Clelia,,
Reptilia,Squamata,Teiidae,Cnemidophorus,,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,,
Reptilia,Squamata,Gymnophthalmidae,Colobodactylus,,
Reptilia,Squamata,Gymnophthalmidae,Colobosaura,,
Reptilia,Squamata,Gymnophthalmidae,Colobosauroides,,
Reptilia,Squamata,Teiidae,Contomastix,,
Reptilia,Squamata,Mabuyidae,Copeoglossum,,
Reptilia,Squamata,Boidae,Corallus,,
Reptilia,Squamata,Dipsadidae,Coronelaps,,
Reptilia,Squamata,Teiidae,Crocodilurus,,
Reptilia,Squamata,Viperidae,Crotalus,,
Reptilia,Squamata,Dactyloidae,Dactyloa,,
Reptilia,Squamata,Colubridae,Dendrophidion,,
Reptilia,Squamata,Anguidae,Diploglossus,,
Reptilia,Squamata,Dipsadidae,Dipsas,,
Reptilia,Squamata,Dipsadidae,Ditaxodon,,
Reptilia,Squamata,Teiidae,Dracaena,,
Reptilia,Squamata,Dipsadidae,Drepanoides,,
Reptilia,Squamata,Gymnophthalmidae,Dryadosaura,,
Reptilia,Squamata,Colubridae,Drymarchon,,
Reptilia,Squamata,Colubridae,Drymobius,,
Reptilia,Squamata,Colubridae,Drymoluber,,
Reptilia,Squamata,Dipsadidae,Echinanthera,,
Reptilia,Squamata,Gymnophthalmidae,Ecpleopus,,
Reptilia,Squamata,Dipsadidae,Elapomorphus,,
Reptilia,Squamata,Hoplocercidae,Enyalioides,,
Reptilia,Squamata,Leiosauridae,Enyalius,,
Reptilia,Squamata,Boidae,Epicrates,,
Reptilia,Squamata,Leptotyphlopidae,Epictia,,
Reptilia,Squamata,Dipsadidae,Erythrolamprus,,
Reptilia,Squamata,Boidae,Eunectes,,
Reptilia,Squamata,Tropiduridae,Eurolophosaurus,,
Reptilia,Squamata,Mabuyidae,Exila,,
Reptilia,Squamata,Teiidae,Glaucomastix,,
Reptilia,Squamata,Dipsadidae,Gomesophis,,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,,
Reptilia,Squamata,Gymnophthalmidae,Gymnophthalmus,,
Reptilia,Squamata,Dipsadidae,Helicops,,
Reptilia,Squamata,Gekkonidae,Hemidactylus,,
Reptilia,Squamata,Gymnophthalmidae,Heterodactylus,,
Reptilia,Squamata,Phyllodactylidae,Homonota,,
Reptilia,Squamata,Hoplocercidae,Hoplocercus,,
Reptilia,Squamata,Dipsadidae,Hydrodynastes,,
Reptilia,Testudines,Chelidae,Hydromedusa,,
Reptilia,Squamata,Dipsadidae,Hydrops,,
Reptilia,Squamata,Iguanidae,Iguana,,
Reptilia,Squamata,Dipsadidae,Imantodes,,
Reptilia,Squamata,Gymnophthalmidae,Iphisa,,
Reptilia,Squamata,Teiidae,Kentropyx,,
Reptilia,Testudines,Kinosternidae,Kinosternon,,
Reptilia,Squamata,Viperidae,Lachesis,,
Reptilia,Squamata,Sphaerodactylidae,Lepidoblepharis,,
Reptilia,Squamata,Gymnophthalmidae,Leposoma,,
Reptilia,Squamata,Amphisbaenidae,Leposternon,,
Reptilia,Squamata,Dipsadidae,Leptodeira,,
Reptilia,Squamata,Elapidae,Leptomicrurus,,
Reptilia,Squamata,Colubridae,Leptophis,,
Reptilia,Squamata,Dipsadidae,Lioheterophis,,
Reptilia,Squamata,Liolaemidae,Liolaemus,,
Reptilia,Squamata,Anomalepididae,Liotyphlops,,
Reptilia,Squamata,Gymnophthalmidae,Loxopholis,,
Reptilia,Squamata,Gekkonidae,Lygodactylus,,
Reptilia,Squamata,Dipsadidae,Lygophis,,
Reptilia,Squamata,Mabuyidae,Manciola,,
Reptilia,Squamata,Gymnophthalmidae,Marinussaurus,,
Reptilia,Squamata,Colubridae,Mastigodryas,,
Reptilia,Crocodylia,Alligatoridae,Melanosuchus,,
Reptilia,Squamata,Amphisbaenidae,Mesobaena,,
Reptilia,Testudines,Chelidae,Mesoclemmys,,
Reptilia,Squamata,Gymnophthalmidae,Micrablepharus,,
Reptilia,Squamata,Elapidae,Micrurus,,
Reptilia,Squamata,Dipsadidae,Mussurana,,
Reptilia,Squamata,Gymnophthalmidae,Neusticurus,,
Reptilia,Squamata,Dipsadidae,Ninia,,
Reptilia,Squamata,Dactyloidae,Norops,,
Reptilia,Squamata,Gymnophthalmidae,Nothobachia,,
Reptilia,Squamata,Mabuyidae,Notomabuya,,
Reptilia,Squamata,Anguidae,Ophiodes,,
Reptilia,Squamata,Colubridae,Oxybelis,,
Reptilia,Squamata,Dipsadidae,Oxyrhopus,,
Reptilia,Crocodylia,Alligatoridae,Paleosuchus,,
Reptilia,Squamata,Mabuyidae,Panopa,,
Reptilia,Squamata,Dipsadidae,Paraphimophis,,
Reptilia,Testudines,Podocnemididae,Peltocephalus,,
Reptilia,Squamata,Dipsadidae,Phalotris,,
Reptilia,Squamata,Dipsadidae,Philodryas,,
Reptilia,Squamata,Dipsadidae,Phimophis,,
Reptilia,Squamata,Colubridae,Phrynonax,,
Reptilia,Testudines,Chelidae,Phrynops,,
Reptilia,Squamata,Phyllodactylidae,Phyllopezus,,
Reptilia,Squamata,Gymnophthalmidae,Placosoma,,
Reptilia,Testudines,Chelidae,Platemys,,
Reptilia,Squamata,Tropiduridae,Plica,,
Reptilia,Testudines,Podocnemididae,Podocnemis,,
Reptilia,Squamata,Polychrotidae,Polychrus,,
Reptilia,Squamata,Gymnophthalmidae,Potamites,,
Reptilia,Squamata,Gymnophthalmidae,Procellosaurinus,,
Reptilia,Squamata,Dipsadidae,Pseudoboa,,
Reptilia,Squamata,Dipsadidae,Pseudoeryx,,
Reptilia,Squamata,Sphaerodactylidae,Pseudogonatodes,,
Reptilia,Squamata,Gymnophthalmidae,Psilops,,
Reptilia,Squamata,Dipsadidae,Psomophis,,
Reptilia,Squamata,Mabuyidae,Psychosaura,,
Reptilia,Squamata,Gymnophthalmidae,Ptychoglossus,,
Reptilia,Squamata,Dipsadidae,Ptychophis,,
Reptilia,Squamata,Dipsadidae,Rhachidelus,,
Reptilia,Squamata,Gymnophthalmidae,Rhachisaurus,,
Reptilia,Testudines,Chelidae,Rhinemys,,
Reptilia,Squamata,Colubridae,Rhinobothryum,,
Reptilia,Testudines,Geoemydidae,Rhinoclemmys,,
Reptilia,Squamata,Dipsadidae,Rodriguesophis,,
Reptilia,Squamata,Gymnophthalmidae,Rondonops,,
Reptilia,Squamata,Teiidae,Salvator,,
Reptilia,Squamata,Gymnophthalmidae,Scriptosaura,,
Reptilia,Squamata,Leptotyphlopidae,Siagonodon,,
Reptilia,Squamata,Dipsadidae,Sibon,,
Reptilia,Squamata,Dipsadidae,Sibynomorphus,,
Reptilia,Squamata,Colubridae,Simophis,,
Reptilia,Squamata,Dipsadidae,Siphlophis,,
Reptilia,Squamata,Dipsadidae,Sordellina,,
Reptilia,Squamata,Colubridae,Spilotes,,
Reptilia,Squamata,Tropiduridae,Stenocercus,,
Reptilia,Squamata,Gymnophthalmidae,Stenolepis,,
Reptilia,Squamata,Tropiduridae,Strobilurus,,
Reptilia,Squamata,Dipsadidae,Taeniophallus,,
Reptilia,Squamata,Colubridae,Tantilla,,
Reptilia,Squamata,Teiidae,Teius,,
Reptilia,Squamata,Dipsadidae,Thamnodynastes,,
Reptilia,Squamata,Phyllodactylidae,Thecadactylus,,
Reptilia,Squamata,Dipsadidae,Tomodon,,
Reptilia,Testudines,Emydidae,Trachemys,,
Reptilia,Squamata,Mabuyidae,Trachylepis,,
Reptilia,Squamata,Gymnophthalmidae,Tretioscincus,,
Reptilia,Squamata,Leptotyphlopidae,Trilepida,,
Reptilia,Squamata,Dipsadidae,Tropidodryas,,
Reptilia,Squamata,Tropidophiidae,Tropidophis,,
Reptilia,Squamata,Tropiduridae,Tropidurus,,
Reptilia,Squamata,Teiidae,Tupinambis,,
Reptilia,Squamata,Anomalepididae,Typhlophis,,
Reptilia,Squamata,Tropiduridae,Uracentron,,
Reptilia,Squamata,Tropiduridae,Uranoscodon,,
Reptilia,Squamata,Dipsadidae,Uromacerina,,
Reptilia,Squamata,Leiosauridae,Urostrophus,,
Reptilia,Squamata,Gymnophthalmidae,Vanzosaura,,
Reptilia,Squamata,Mabuyidae,Varzea,,
Reptilia,Squamata,Dipsadidae,Xenodon,,
Reptilia,Squamata,Dipsadidae,Xenopholis,,
Reptilia,Testudines,Kinosternidae,Kinosternon,Kinosternon scorpioides,
Reptilia,Testudines,Emydidae,Trachemys,Trachemys adiutrix,
Reptilia,Testudines,Emydidae,Trachemys,Trachemys dorbigni,
Reptilia,Testudines,Geoemydidae,Rhinoclemmys,Rhinoclemmys punctularia,
Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis carbonarius,
Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis denticulatus,
Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys macrocephala,
Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys radiolata,
Reptilia,Testudines,Chelidae,Acanthochelys,Acanthochelys spixii,
Reptilia,Testudines,Chelidae,Chelus,Chelus fimbriata,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys gibba,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys heliostemma,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys hogei,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys nasuta,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys perplexa,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys raniceps,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys tuberculata,
Reptilia,Testudines,Chelidae,Mesoclemmys,Mesoclemmys vanderhaegei,
Reptilia,Testudines,Chelidae,Phrynops,Phrynops geoffroanus,
Reptilia,Testudines,Chelidae,Phrynops,Phrynops hilarii,
Reptilia,Testudines,Chelidae,Phrynops,Phrynops tuberosus,
Reptilia,Testudines,Chelidae,Phrynops,Phrynops williamsi,
Reptilia,Testudines,Chelidae,Platemys,Platemys platycephala,
Reptilia,Testudines,Chelidae,Rhinemys,Rhinemys rufipes,
Reptilia,Testudines,Chelidae,Hydromedusa,Hydromedusa maximiliani,
Reptilia,Testudines,Chelidae,Hydromedusa,Hydromedusa tectifera,
Reptilia,Testudines,Podocnemididae,Peltocephalus,Peltocephalus dumerilianus,
Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis erythrocephala,
Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis expansa,
Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis sextuberculata,
Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis unifilis,
Reptilia,Crocodylia,Alligatoridae,Caiman,Caiman crocodilus,
Reptilia,Crocodylia,Alligatoridae,Caiman,Caiman latirostris,
Reptilia,Crocodylia,Alligatoridae,Caiman,Caiman yacare,
Reptilia,Crocodylia,Alligatoridae,Melanosuchus,Melanosuchus niger,
Reptilia,Crocodylia,Alligatoridae,Paleosuchus,Paleosuchus palpebrosus,
Reptilia,Crocodylia,Alligatoridae,Paleosuchus,Paleosuchus trigonatus,
Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus agrius,
Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus brasilianus,
Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus mabouia,
Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus palaichthus,
Reptilia,Squamata,Gekkonidae,Lygodactylus,Lygodactylus klugei,
Reptilia,Squamata,Gekkonidae,Lygodactylus,Lygodactylus wetzeli,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,Gymnodactylus amarali,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,Gymnodactylus darwinii,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,Gymnodactylus geckoides,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,Gymnodactylus guttulatus,
Reptilia,Squamata,Phyllodactylidae,Gymnodactylus,Gymnodactylus vanzolinii,
Reptilia,Squamata,Phyllodactylidae,Homonota,Homonota uruguayensis,
Reptilia,Squamata,Phyllodactylidae,Phyllopezus,Phyllopezus lutzae,
Reptilia,Squamata,Phyllodactylidae,Phyllopezus,Phyllopezus periosus,
Reptilia,Squamata,Phyllodactylidae,Phyllopezus,Phyllopezus pollicaris,
Reptilia,Squamata,Phyllodactylidae,Phyllopezus,Phyllopezus przewalskii,
Reptilia,Squamata,Phyllodactylidae,Thecadactylus,Thecadactylus rapicauda,
Reptilia,Squamata,Phyllodactylidae,Thecadactylus,Thecadactylus solimoensis,
Reptilia,Squamata,Sphaerodactylidae,Chatogekko,Chatogekko amazonicus,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,Coleodactylus brachystoma,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,Coleodactylus elizae,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,Coleodactylus meridionalis,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,Coleodactylus natalensis,
Reptilia,Squamata,Sphaerodactylidae,Coleodactylus,Coleodactylus septentrionalis,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes annularis,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes eladioi,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes hasemani,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes humeralis,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes nascimentoi,
Reptilia,Squamata,Sphaerodactylidae,Gonatodes,Gonatodes tapajonicus,
Reptilia,Squamata,Sphaerodactylidae,Lepidoblepharis,Lepidoblepharis heyerorum,
Reptilia,Squamata,Sphaerodactylidae,Lepidoblepharis,Lepidoblepharis hoogmoedi,
Reptilia,Squamata,Sphaerodactylidae,Pseudogonatodes,Pseudogonatodes gasconi,
Reptilia,Squamata,Sphaerodactylidae,Pseudogonatodes,Pseudogonatodes guianensis,
Reptilia,Squamata,Mabuyidae,Aspronema,Aspronema dorsivittatum,
Reptilia,Squamata,Mabuyidae,Brasiliscincus,Brasiliscincus agilis,
Reptilia,Squamata,Mabuyidae,Brasiliscincus,Brasiliscincus caissara,
Reptilia,Squamata,Mabuyidae,Brasiliscincus,Brasiliscincus heathi,
Reptilia,Squamata,Mabuyidae,Copeoglossum,Copeoglossum arajara,
Reptilia,Squamata,Mabuyidae,Copeoglossum,Copeoglossum nigropunctatum,
Reptilia,Squamata,Mabuyidae,Exila,Exila nigropalmata,
Reptilia,Squamata,Mabuyidae,Manciola,Manciola guaporicola,
Reptilia,Squamata,Mabuyidae,Notomabuya,Notomabuya frenata,
Reptilia,Squamata,Mabuyidae,Panopa,Panopa carvalhoi,
Reptilia,Squamata,Mabuyidae,Psychosaura,Psychosaura agmosticha,
Reptilia,Squamata,Mabuyidae,Psychosaura,Psychosaura macrorhyncha,
Reptilia,Squamata,Mabuyidae,Varzea,Varzea altamazonica,
Reptilia,Squamata,Mabuyidae,Varzea,Varzea bistriata,
Reptilia,Squamata,Mabuyidae,Trachylepis,Trachylepis atlantica,
Reptilia,Squamata,Dactyloidae,Dactyloa,Dactyloa dissimilis,
Reptilia,Squamata,Dactyloidae,Dactyloa,Dactyloa nasofrontalis,
Reptilia,Squamata,Dactyloidae,Dactyloa,Dactyloa phyllorhina,
Reptilia,Squamata,Dactyloidae,Dactyloa,Dactyloa pseudotigrina,
Reptilia,Squamata,Dactyloidae,Dactyloa,Dactyloa punctata,
